echo 0000 | nc 10.212.175.197 8000
echo 0001 | nc 10.212.175.197 8000
echo 0002 | nc 10.212.175.197 8000
echo 0003 | nc 10.212.175.197 8000
echo 0004 | nc 10.212.175.197 8000
echo 0005 | nc 10.212.175.197 8000
echo 0006 | nc 10.212.175.197 8000
echo 0007 | nc 10.212.175.197 8000
echo 0008 | nc 10.212.175.197 8000
echo 0009 | nc 10.212.175.197 8000
echo 0010 | nc 10.212.175.197 8000
echo 0011 | nc 10.212.175.197 8000
echo 0012 | nc 10.212.175.197 8000
echo 0013 | nc 10.212.175.197 8000
echo 0014 | nc 10.212.175.197 8000
echo 0015 | nc 10.212.175.197 8000
echo 0016 | nc 10.212.175.197 8000
echo 0017 | nc 10.212.175.197 8000
echo 0018 | nc 10.212.175.197 8000
echo 0019 | nc 10.212.175.197 8000
echo 0020 | nc 10.212.175.197 8000
echo 0021 | nc 10.212.175.197 8000
echo 0022 | nc 10.212.175.197 8000
echo 0023 | nc 10.212.175.197 8000
echo 0024 | nc 10.212.175.197 8000
echo 0025 | nc 10.212.175.197 8000
echo 0026 | nc 10.212.175.197 8000
echo 0027 | nc 10.212.175.197 8000
echo 0028 | nc 10.212.175.197 8000
echo 0029 | nc 10.212.175.197 8000
echo 0030 | nc 10.212.175.197 8000
echo 0031 | nc 10.212.175.197 8000
echo 0032 | nc 10.212.175.197 8000
echo 0033 | nc 10.212.175.197 8000
echo 0034 | nc 10.212.175.197 8000
echo 0035 | nc 10.212.175.197 8000
echo 0036 | nc 10.212.175.197 8000
echo 0037 | nc 10.212.175.197 8000
echo 0038 | nc 10.212.175.197 8000
echo 0039 | nc 10.212.175.197 8000
echo 0040 | nc 10.212.175.197 8000
echo 0041 | nc 10.212.175.197 8000
echo 0042 | nc 10.212.175.197 8000
echo 0043 | nc 10.212.175.197 8000
echo 0044 | nc 10.212.175.197 8000
echo 0045 | nc 10.212.175.197 8000
echo 0046 | nc 10.212.175.197 8000
echo 0047 | nc 10.212.175.197 8000
echo 0048 | nc 10.212.175.197 8000
echo 0049 | nc 10.212.175.197 8000
echo 0050 | nc 10.212.175.197 8000
echo 0051 | nc 10.212.175.197 8000
echo 0052 | nc 10.212.175.197 8000
echo 0053 | nc 10.212.175.197 8000
echo 0054 | nc 10.212.175.197 8000
echo 0055 | nc 10.212.175.197 8000
echo 0056 | nc 10.212.175.197 8000
echo 0057 | nc 10.212.175.197 8000
echo 0058 | nc 10.212.175.197 8000
echo 0059 | nc 10.212.175.197 8000
echo 0060 | nc 10.212.175.197 8000
echo 0061 | nc 10.212.175.197 8000
echo 0062 | nc 10.212.175.197 8000
echo 0063 | nc 10.212.175.197 8000
echo 0064 | nc 10.212.175.197 8000
echo 0065 | nc 10.212.175.197 8000
echo 0066 | nc 10.212.175.197 8000
echo 0067 | nc 10.212.175.197 8000
echo 0068 | nc 10.212.175.197 8000
echo 0069 | nc 10.212.175.197 8000
echo 0070 | nc 10.212.175.197 8000
echo 0071 | nc 10.212.175.197 8000
echo 0072 | nc 10.212.175.197 8000
echo 0073 | nc 10.212.175.197 8000
echo 0074 | nc 10.212.175.197 8000
echo 0075 | nc 10.212.175.197 8000
echo 0076 | nc 10.212.175.197 8000
echo 0077 | nc 10.212.175.197 8000
echo 0078 | nc 10.212.175.197 8000
echo 0079 | nc 10.212.175.197 8000
echo 0080 | nc 10.212.175.197 8000
echo 0081 | nc 10.212.175.197 8000
echo 0082 | nc 10.212.175.197 8000
echo 0083 | nc 10.212.175.197 8000
echo 0084 | nc 10.212.175.197 8000
echo 0085 | nc 10.212.175.197 8000
echo 0086 | nc 10.212.175.197 8000
echo 0087 | nc 10.212.175.197 8000
echo 0088 | nc 10.212.175.197 8000
echo 0089 | nc 10.212.175.197 8000
echo 0090 | nc 10.212.175.197 8000
echo 0091 | nc 10.212.175.197 8000
echo 0092 | nc 10.212.175.197 8000
echo 0093 | nc 10.212.175.197 8000
echo 0094 | nc 10.212.175.197 8000
echo 0095 | nc 10.212.175.197 8000
echo 0096 | nc 10.212.175.197 8000
echo 0097 | nc 10.212.175.197 8000
echo 0098 | nc 10.212.175.197 8000
echo 0099 | nc 10.212.175.197 8000
echo 0100 | nc 10.212.175.197 8000
echo 0101 | nc 10.212.175.197 8000
echo 0102 | nc 10.212.175.197 8000
echo 0103 | nc 10.212.175.197 8000
echo 0104 | nc 10.212.175.197 8000
echo 0105 | nc 10.212.175.197 8000
echo 0106 | nc 10.212.175.197 8000
echo 0107 | nc 10.212.175.197 8000
echo 0108 | nc 10.212.175.197 8000
echo 0109 | nc 10.212.175.197 8000
echo 0110 | nc 10.212.175.197 8000
echo 0111 | nc 10.212.175.197 8000
echo 0112 | nc 10.212.175.197 8000
echo 0113 | nc 10.212.175.197 8000
echo 0114 | nc 10.212.175.197 8000
echo 0115 | nc 10.212.175.197 8000
echo 0116 | nc 10.212.175.197 8000
echo 0117 | nc 10.212.175.197 8000
echo 0118 | nc 10.212.175.197 8000
echo 0119 | nc 10.212.175.197 8000
echo 0120 | nc 10.212.175.197 8000
echo 0121 | nc 10.212.175.197 8000
echo 0122 | nc 10.212.175.197 8000
echo 0123 | nc 10.212.175.197 8000
echo 0124 | nc 10.212.175.197 8000
echo 0125 | nc 10.212.175.197 8000
echo 0126 | nc 10.212.175.197 8000
echo 0127 | nc 10.212.175.197 8000
echo 0128 | nc 10.212.175.197 8000
echo 0129 | nc 10.212.175.197 8000
echo 0130 | nc 10.212.175.197 8000
echo 0131 | nc 10.212.175.197 8000
echo 0132 | nc 10.212.175.197 8000
echo 0133 | nc 10.212.175.197 8000
echo 0134 | nc 10.212.175.197 8000
echo 0135 | nc 10.212.175.197 8000
echo 0136 | nc 10.212.175.197 8000
echo 0137 | nc 10.212.175.197 8000
echo 0138 | nc 10.212.175.197 8000
echo 0139 | nc 10.212.175.197 8000
echo 0140 | nc 10.212.175.197 8000
echo 0141 | nc 10.212.175.197 8000
echo 0142 | nc 10.212.175.197 8000
echo 0143 | nc 10.212.175.197 8000
echo 0144 | nc 10.212.175.197 8000
echo 0145 | nc 10.212.175.197 8000
echo 0146 | nc 10.212.175.197 8000
echo 0147 | nc 10.212.175.197 8000
echo 0148 | nc 10.212.175.197 8000
echo 0149 | nc 10.212.175.197 8000
echo 0150 | nc 10.212.175.197 8000
echo 0151 | nc 10.212.175.197 8000
echo 0152 | nc 10.212.175.197 8000
echo 0153 | nc 10.212.175.197 8000
echo 0154 | nc 10.212.175.197 8000
echo 0155 | nc 10.212.175.197 8000
echo 0156 | nc 10.212.175.197 8000
echo 0157 | nc 10.212.175.197 8000
echo 0158 | nc 10.212.175.197 8000
echo 0159 | nc 10.212.175.197 8000
echo 0160 | nc 10.212.175.197 8000
echo 0161 | nc 10.212.175.197 8000
echo 0162 | nc 10.212.175.197 8000
echo 0163 | nc 10.212.175.197 8000
echo 0164 | nc 10.212.175.197 8000
echo 0165 | nc 10.212.175.197 8000
echo 0166 | nc 10.212.175.197 8000
echo 0167 | nc 10.212.175.197 8000
echo 0168 | nc 10.212.175.197 8000
echo 0169 | nc 10.212.175.197 8000
echo 0170 | nc 10.212.175.197 8000
echo 0171 | nc 10.212.175.197 8000
echo 0172 | nc 10.212.175.197 8000
echo 0173 | nc 10.212.175.197 8000
echo 0174 | nc 10.212.175.197 8000
echo 0175 | nc 10.212.175.197 8000
echo 0176 | nc 10.212.175.197 8000
echo 0177 | nc 10.212.175.197 8000
echo 0178 | nc 10.212.175.197 8000
echo 0179 | nc 10.212.175.197 8000
echo 0180 | nc 10.212.175.197 8000
echo 0181 | nc 10.212.175.197 8000
echo 0182 | nc 10.212.175.197 8000
echo 0183 | nc 10.212.175.197 8000
echo 0184 | nc 10.212.175.197 8000
echo 0185 | nc 10.212.175.197 8000
echo 0186 | nc 10.212.175.197 8000
echo 0187 | nc 10.212.175.197 8000
echo 0188 | nc 10.212.175.197 8000
echo 0189 | nc 10.212.175.197 8000
echo 0190 | nc 10.212.175.197 8000
echo 0191 | nc 10.212.175.197 8000
echo 0192 | nc 10.212.175.197 8000
echo 0193 | nc 10.212.175.197 8000
echo 0194 | nc 10.212.175.197 8000
echo 0195 | nc 10.212.175.197 8000
echo 0196 | nc 10.212.175.197 8000
echo 0197 | nc 10.212.175.197 8000
echo 0198 | nc 10.212.175.197 8000
echo 0199 | nc 10.212.175.197 8000
echo 0200 | nc 10.212.175.197 8000
echo 0201 | nc 10.212.175.197 8000
echo 0202 | nc 10.212.175.197 8000
echo 0203 | nc 10.212.175.197 8000
echo 0204 | nc 10.212.175.197 8000
echo 0205 | nc 10.212.175.197 8000
echo 0206 | nc 10.212.175.197 8000
echo 0207 | nc 10.212.175.197 8000
echo 0208 | nc 10.212.175.197 8000
echo 0209 | nc 10.212.175.197 8000
echo 0210 | nc 10.212.175.197 8000
echo 0211 | nc 10.212.175.197 8000
echo 0212 | nc 10.212.175.197 8000
echo 0213 | nc 10.212.175.197 8000
echo 0214 | nc 10.212.175.197 8000
echo 0215 | nc 10.212.175.197 8000
echo 0216 | nc 10.212.175.197 8000
echo 0217 | nc 10.212.175.197 8000
echo 0218 | nc 10.212.175.197 8000
echo 0219 | nc 10.212.175.197 8000
echo 0220 | nc 10.212.175.197 8000
echo 0221 | nc 10.212.175.197 8000
echo 0222 | nc 10.212.175.197 8000
echo 0223 | nc 10.212.175.197 8000
echo 0224 | nc 10.212.175.197 8000
echo 0225 | nc 10.212.175.197 8000
echo 0226 | nc 10.212.175.197 8000
echo 0227 | nc 10.212.175.197 8000
echo 0228 | nc 10.212.175.197 8000
echo 0229 | nc 10.212.175.197 8000
echo 0230 | nc 10.212.175.197 8000
echo 0231 | nc 10.212.175.197 8000
echo 0232 | nc 10.212.175.197 8000
echo 0233 | nc 10.212.175.197 8000
echo 0234 | nc 10.212.175.197 8000
echo 0235 | nc 10.212.175.197 8000
echo 0236 | nc 10.212.175.197 8000
echo 0237 | nc 10.212.175.197 8000
echo 0238 | nc 10.212.175.197 8000
echo 0239 | nc 10.212.175.197 8000
echo 0240 | nc 10.212.175.197 8000
echo 0241 | nc 10.212.175.197 8000
echo 0242 | nc 10.212.175.197 8000
echo 0243 | nc 10.212.175.197 8000
echo 0244 | nc 10.212.175.197 8000
echo 0245 | nc 10.212.175.197 8000
echo 0246 | nc 10.212.175.197 8000
echo 0247 | nc 10.212.175.197 8000
echo 0248 | nc 10.212.175.197 8000
echo 0249 | nc 10.212.175.197 8000
echo 0250 | nc 10.212.175.197 8000
echo 0251 | nc 10.212.175.197 8000
echo 0252 | nc 10.212.175.197 8000
echo 0253 | nc 10.212.175.197 8000
echo 0254 | nc 10.212.175.197 8000
echo 0255 | nc 10.212.175.197 8000
echo 0256 | nc 10.212.175.197 8000
echo 0257 | nc 10.212.175.197 8000
echo 0258 | nc 10.212.175.197 8000
echo 0259 | nc 10.212.175.197 8000
echo 0260 | nc 10.212.175.197 8000
echo 0261 | nc 10.212.175.197 8000
echo 0262 | nc 10.212.175.197 8000
echo 0263 | nc 10.212.175.197 8000
echo 0264 | nc 10.212.175.197 8000
echo 0265 | nc 10.212.175.197 8000
echo 0266 | nc 10.212.175.197 8000
echo 0267 | nc 10.212.175.197 8000
echo 0268 | nc 10.212.175.197 8000
echo 0269 | nc 10.212.175.197 8000
echo 0270 | nc 10.212.175.197 8000
echo 0271 | nc 10.212.175.197 8000
echo 0272 | nc 10.212.175.197 8000
echo 0273 | nc 10.212.175.197 8000
echo 0274 | nc 10.212.175.197 8000
echo 0275 | nc 10.212.175.197 8000
echo 0276 | nc 10.212.175.197 8000
echo 0277 | nc 10.212.175.197 8000
echo 0278 | nc 10.212.175.197 8000
echo 0279 | nc 10.212.175.197 8000
echo 0280 | nc 10.212.175.197 8000
echo 0281 | nc 10.212.175.197 8000
echo 0282 | nc 10.212.175.197 8000
echo 0283 | nc 10.212.175.197 8000
echo 0284 | nc 10.212.175.197 8000
echo 0285 | nc 10.212.175.197 8000
echo 0286 | nc 10.212.175.197 8000
echo 0287 | nc 10.212.175.197 8000
echo 0288 | nc 10.212.175.197 8000
echo 0289 | nc 10.212.175.197 8000
echo 0290 | nc 10.212.175.197 8000
echo 0291 | nc 10.212.175.197 8000
echo 0292 | nc 10.212.175.197 8000
echo 0293 | nc 10.212.175.197 8000
echo 0294 | nc 10.212.175.197 8000
echo 0295 | nc 10.212.175.197 8000
echo 0296 | nc 10.212.175.197 8000
echo 0297 | nc 10.212.175.197 8000
echo 0298 | nc 10.212.175.197 8000
echo 0299 | nc 10.212.175.197 8000
echo 0300 | nc 10.212.175.197 8000
echo 0301 | nc 10.212.175.197 8000
echo 0302 | nc 10.212.175.197 8000
echo 0303 | nc 10.212.175.197 8000
echo 0304 | nc 10.212.175.197 8000
echo 0305 | nc 10.212.175.197 8000
echo 0306 | nc 10.212.175.197 8000
echo 0307 | nc 10.212.175.197 8000
echo 0308 | nc 10.212.175.197 8000
echo 0309 | nc 10.212.175.197 8000
echo 0310 | nc 10.212.175.197 8000
